,numBikesAvailable,last_reported,DAY,DAY OF WEEK,DAY OF YEAR,HOUR,MIN,numDocks
0,12,20241215,15,7,350,20,13,35
1,10,20241215,15,7,350,20,2,35
2,11,20241215,15,7,350,20,2,35
3,11,20241215,15,7,350,21,0,35
4,10,20241215,15,7,350,21,9,35
5,8,20241215,15,7,350,21,16,35
6,7,20241215,15,7,350,21,32,35
7,6,20241215,15,7,350,21,34,35
8,7,20241215,15,7,350,22,0,35
9,6,20241215,15,7,350,22,2,35
10,7,20241215,15,7,350,23,0,35
11,7,20241215,16,1,351,0,0,35
12,7,20241216,16,1,351,0,38,35
13,9,20241216,16,1,351,0,51,35
14,9,20241216,16,1,351,1,0,35
15,9,20241216,16,1,351,2,0,35
16,10,20241216,16,1,351,2,15,35
17,10,20241216,16,1,351,3,0,35
18,10,20241216,16,1,351,4,0,35
19,10,20241216,16,1,351,5,0,35
20,10,20241216,16,1,351,6,0,35
21,9,20241216,16,1,351,6,23,35
22,9,20241216,16,1,351,7,0,35
23,8,20241216,16,1,351,7,20,35
24,7,20241216,16,1,351,7,42,35
25,6,20241216,16,1,351,7,46,35
26,6,20241216,16,1,351,8,0,35
27,7,20241216,16,1,351,8,5,35
28,5,20241216,16,1,351,8,7,35
29,8,20241216,16,1,351,8,38,35
30,7,20241216,16,1,351,9,0,35
31,8,20241216,16,1,351,9,6,35
32,9,20241216,16,1,351,9,13,35
33,8,20241216,16,1,351,10,0,35
34,7,20241216,16,1,351,10,21,35
35,6,20241216,16,1,351,10,34,35
36,5,20241216,16,1,351,10,44,35
37,5,20241216,16,1,351,11,0,35
38,4,20241216,16,1,351,11,36,35
39,2,20241216,16,1,351,11,44,35
40,2,20241216,16,1,351,12,0,35
41,3,20241216,16,1,351,12,40,35
42,4,20241216,16,1,351,12,43,35
43,4,20241216,16,1,351,13,0,35
44,5,20241216,16,1,351,13,23,35
45,6,20241216,16,1,351,13,24,35
46,3,20241216,16,1,351,13,47,35
47,3,20241216,16,1,351,14,0,35
48,4,20241216,16,1,351,14,49,35
49,4,20241216,16,1,351,15,0,35
50,3,20241216,16,1,351,15,9,35
51,5,20241216,16,1,351,15,15,35
52,3,20241216,16,1,351,16,0,35
53,4,20241216,16,1,351,16,8,35
54,2,20241216,16,1,351,16,13,35
55,5,20241216,16,1,351,16,36,35
56,6,20241216,16,1,351,16,43,35
57,7,20241216,16,1,351,16,47,35
58,8,20241216,16,1,351,16,48,35
59,9,20241216,16,1,351,16,53,35
60,11,20241216,16,1,351,17,0,35
61,10,20241216,16,1,351,17,21,35
62,9,20241216,16,1,351,17,42,35
63,8,20241216,16,1,351,17,55,35
64,8,20241216,16,1,351,18,0,35
65,7,20241216,16,1,351,18,5,35
66,6,20241216,16,1,351,18,6,35
67,5,20241216,16,1,351,18,10,35
68,4,20241216,16,1,351,18,23,35
69,3,20241216,16,1,351,18,24,35
70,5,20241216,16,1,351,19,0,35
71,4,20241216,16,1,351,19,15,35
72,3,20241216,16,1,351,19,34,35
73,5,20241216,16,1,351,20,0,35
74,6,20241216,16,1,351,20,1,35
75,4,20241216,16,1,351,20,39,35
76,2,20241216,16,1,351,20,54,35
77,2,20241216,16,1,351,21,0,35
78,2,20241216,16,1,351,22,0,35
79,4,20241216,16,1,351,22,20,35
80,3,20241216,16,1,351,22,35,35
81,3,20241216,16,1,351,23,0,35
82,4,20241216,16,1,351,23,41,35
83,4,20241216,17,2,352,0,0,35
84,4,20241217,17,2,352,0,41,35
85,4,20241217,17,2,352,1,0,35
86,4,20241217,17,2,352,2,0,35
87,4,20241217,17,2,352,3,0,35
88,4,20241217,17,2,352,4,0,35
89,4,20241217,17,2,352,5,0,35
90,4,20241217,17,2,352,6,0,35
91,3,20241217,17,2,352,6,52,35
92,3,20241217,17,2,352,7,0,35
93,3,20241217,17,2,352,8,0,35
94,4,20241217,17,2,352,8,1,35
95,5,20241217,17,2,352,8,37,35
96,6,20241217,17,2,352,8,54,35
97,6,20241217,17,2,352,9,0,35
98,5,20241217,17,2,352,9,2,35
99,4,20241217,17,2,352,9,33,35
100,4,20241217,17,2,352,10,0,35
101,3,20241217,17,2,352,10,1,35
102,2,20241217,17,2,352,10,27,35
103,2,20241217,17,2,352,11,0,34
104,3,20241217,17,2,352,11,15,34
105,4,20241217,17,2,352,11,31,34
106,5,20241217,17,2,352,11,42,35
107,5,20241217,17,2,352,12,0,34
108,6,20241217,17,2,352,12,25,34
109,7,20241217,17,2,352,12,31,34
110,7,20241217,17,2,352,13,0,34
111,8,20241217,17,2,352,13,13,34
112,6,20241217,17,2,352,13,38,34
113,6,20241217,17,2,352,14,0,34
114,7,20241217,17,2,352,14,8,34
115,4,20241217,17,2,352,14,56,34
116,4,20241217,17,2,352,15,0,34
117,5,20241217,17,2,352,15,5,34
118,3,20241217,17,2,352,15,21,34
119,6,20241217,17,2,352,15,30,34
120,7,20241217,17,2,352,15,43,35
121,5,20241217,17,2,352,16,0,34
122,6,20241217,17,2,352,16,5,34
123,5,20241217,17,2,352,17,0,34
124,4,20241217,17,2,352,17,5,34
125,3,20241217,17,2,352,17,13,34
126,2,20241217,17,2,352,17,19,34
127,4,20241217,17,2,352,18,0,35
128,3,20241217,17,2,352,18,1,35
129,5,20241217,17,2,352,18,20,35
130,6,20241217,17,2,352,18,23,35
131,2,20241217,17,2,352,18,36,35
132,4,20241217,17,2,352,19,0,35
133,4,20241217,17,2,352,20,0,35
134,5,20241217,17,2,352,20,3,35
135,6,20241217,17,2,352,20,16,35
136,3,20241217,17,2,352,20,38,35
137,2,20241217,17,2,352,20,53,35
138,2,20241217,17,2,352,21,0,35
139,2,20241217,17,2,352,22,0,35
140,3,20241217,17,2,352,22,35,35
141,3,20241217,17,2,352,23,0,35
142,3,20241217,18,3,353,0,0,35
143,3,20241218,18,3,353,0,44,35
144,3,20241218,18,3,353,1,0,35
145,4,20241218,18,3,353,1,56,35
146,4,20241218,18,3,353,2,0,35
147,4,20241218,18,3,353,3,0,35
148,4,20241218,18,3,353,4,0,35
149,4,20241218,18,3,353,5,0,35
150,4,20241218,18,3,353,6,0,35
151,3,20241218,18,3,353,6,53,35
152,3,20241218,18,3,353,7,0,35
153,2,20241218,18,3,353,7,2,35
154,2,20241218,18,3,353,8,0,35
155,3,20241218,18,3,353,8,6,35
156,4,20241218,18,3,353,8,46,35
157,5,20241218,18,3,353,8,47,35
158,5,20241218,18,3,353,9,0,35
159,4,20241218,18,3,353,9,16,35
160,3,20241218,18,3,353,9,43,35
161,4,20241218,18,3,353,10,0,35
162,3,20241218,18,3,353,10,18,35
163,3,20241218,18,3,353,11,0,35
164,3,20241218,18,3,353,12,0,35
165,3,20241218,18,3,353,13,0,35
166,4,20241218,18,3,353,13,17,35
167,4,20241218,18,3,353,14,0,35
168,3,20241218,18,3,353,14,48,35
169,3,20241218,18,3,353,15,0,35
170,4,20241218,18,3,353,15,5,35
171,5,20241218,18,3,353,15,16,35
172,6,20241218,18,3,353,16,0,35
173,5,20241218,18,3,353,16,11,35
174,4,20241218,18,3,353,16,22,35
175,3,20241218,18,3,353,16,41,35
176,2,20241218,18,3,353,16,42,35
177,3,20241218,18,3,353,17,0,35
178,2,20241218,18,3,353,17,7,35
179,4,20241218,18,3,353,17,9,35
180,2,20241218,18,3,353,18,0,35
181,3,20241218,18,3,353,18,38,34
182,5,20241218,18,3,353,18,43,34
183,6,20241218,18,3,353,18,55,34
184,5,20241218,18,3,353,19,0,34
185,6,20241218,18,3,353,19,3,34
186,7,20241218,18,3,353,19,5,34
187,8,20241218,18,3,353,19,25,34
188,5,20241218,18,3,353,20,0,34
189,4,20241218,18,3,353,20,9,34
190,3,20241218,18,3,353,20,22,34
191,3,20241218,18,3,353,21,0,34
192,4,20241218,18,3,353,21,27,34
193,5,20241218,18,3,353,21,47,35
194,4,20241218,18,3,353,22,0,34
195,5,20241218,18,3,353,22,47,35
196,4,20241218,18,3,353,23,0,34
197,5,20241218,18,3,353,23,47,35
198,4,20241218,19,4,354,0,0,34
199,4,20241219,19,4,354,0,47,34
200,4,20241219,19,4,354,1,0,34
201,5,20241219,19,4,354,1,13,34
202,6,20241219,19,4,354,1,33,34
203,7,20241219,19,4,354,1,47,35
204,6,20241219,19,4,354,2,0,34
205,7,20241219,19,4,354,2,2,34
206,9,20241219,19,4,354,2,48,34
207,12,20241219,19,4,354,2,49,34
208,17,20241219,19,4,354,2,50,34
209,19,20241219,19,4,354,2,51,34
210,22,20241219,19,4,354,2,52,34
211,22,20241219,19,4,354,3,0,34
212,22,20241219,19,4,354,4,0,34
213,22,20241219,19,4,354,5,0,34
214,22,20241219,19,4,354,6,0,34
215,21,20241219,19,4,354,6,47,34
216,21,20241219,19,4,354,7,0,34
217,20,20241219,19,4,354,7,2,34
218,19,20241219,19,4,354,7,52,34
219,19,20241219,19,4,354,8,0,34
220,18,20241219,19,4,354,8,31,34
221,20,20241219,19,4,354,8,48,35
222,19,20241219,19,4,354,9,0,34
223,20,20241219,19,4,354,9,16,34
224,21,20241219,19,4,354,9,32,34
225,21,20241219,19,4,354,10,0,34
226,20,20241219,19,4,354,10,40,34
227,22,20241219,19,4,354,10,48,35
228,20,20241219,19,4,354,11,0,34
229,21,20241219,19,4,354,11,2,34
230,22,20241219,19,4,354,11,48,35
231,21,20241219,19,4,354,12,0,34
232,22,20241219,19,4,354,12,31,34
233,23,20241219,19,4,354,12,33,34
234,24,20241219,19,4,354,12,48,35
235,22,20241219,19,4,354,13,0,34
236,23,20241219,19,4,354,13,2,34
237,24,20241219,19,4,354,13,31,34
238,25,20241219,19,4,354,13,39,34
239,26,20241219,19,4,354,13,48,35
240,25,20241219,19,4,354,14,0,34
241,24,20241219,19,4,354,14,36,34
242,25,20241219,19,4,354,15,0,34
243,26,20241219,19,4,354,15,52,34
244,25,20241219,19,4,354,16,0,34
245,26,20241219,19,4,354,16,17,34
246,27,20241219,19,4,354,16,21,34
247,28,20241219,19,4,354,16,34,34
248,25,20241219,19,4,354,17,0,34
249,24,20241219,19,4,354,17,5,34
250,23,20241219,19,4,354,17,6,34
251,22,20241219,19,4,354,17,46,34
252,23,20241219,19,4,354,18,0,34
253,22,20241219,19,4,354,18,3,34
254,21,20241219,19,4,354,18,6,34
255,20,20241219,19,4,354,18,7,34
256,19,20241219,19,4,354,18,8,34
257,18,20241219,19,4,354,18,17,34
258,17,20241219,19,4,354,18,21,34
259,15,20241219,19,4,354,18,22,34
260,14,20241219,19,4,354,18,26,33
261,13,20241219,19,4,354,18,27,33
262,12,20241219,19,4,354,18,31,33
263,11,20241219,19,4,354,18,39,33
264,11,20241219,19,4,354,19,0,33
265,12,20241219,19,4,354,19,14,33
266,10,20241219,19,4,354,19,52,33
267,9,20241219,19,4,354,19,59,33
268,9,20241219,19,4,354,20,0,33
269,10,20241219,19,4,354,20,5,33
270,8,20241219,19,4,354,20,26,33
271,7,20241219,19,4,354,20,42,33
272,9,20241219,19,4,354,21,0,33
273,8,20241219,19,4,354,21,20,33
274,9,20241219,19,4,354,22,0,33
275,8,20241219,19,4,354,22,11,33
276,7,20241219,19,4,354,22,15,33
277,6,20241219,19,4,354,22,21,33
278,6,20241219,19,4,354,23,0,33
279,5,20241219,19,4,354,23,12,33
280,5,20241219,20,5,355,0,0,33
281,7,20241220,20,5,355,0,50,35
282,5,20241220,20,5,355,0,51,33
283,5,20241220,20,5,355,1,0,33
284,5,20241220,20,5,355,2,0,33
285,4,20241220,20,5,355,2,28,33
286,6,20241220,20,5,355,2,50,35
287,4,20241220,20,5,355,3,0,33
288,6,20241220,20,5,355,3,50,35
289,4,20241220,20,5,355,4,0,33
290,5,20241220,20,5,355,4,10,33
291,5,20241220,20,5,355,5,0,33
292,6,20241220,20,5,355,5,58,33
293,6,20241220,20,5,355,6,0,33
294,6,20241220,20,5,355,7,0,33
295,5,20241220,20,5,355,7,9,33
296,4,20241220,20,5,355,7,52,33
297,4,20241220,20,5,355,8,0,33
298,3,20241220,20,5,355,8,15,33
299,2,20241220,20,5,355,8,17,33
300,5,20241220,20,5,355,8,52,33
301,4,20241220,20,5,355,9,0,33
302,3,20241220,20,5,355,9,7,33
303,2,20241220,20,5,355,9,21,33
304,3,20241220,20,5,355,10,0,33
305,3,20241220,20,5,355,11,0,33
306,2,20241220,20,5,355,11,3,33
