,numBikesAvailable,last_reported,DAY,DAY OF WEEK,DAY OF YEAR,HOUR,MIN,numDocks
1,10,20241215,15,7,350,20,2,35
2,11,20241215,15,7,350,20,2,35
3,11,20241215,15,7,350,21,0,35
4,10,20241215,15,7,350,21,9,35
5,8,20241215,15,7,350,21,16,35
6,7,20241215,15,7,350,21,32,35
7,6,20241215,15,7,350,21,34,35
8,7,20241215,15,7,350,22,0,35
9,6,20241215,15,7,350,22,2,35
10,7,20241215,15,7,350,23,0,35
11,7,20241215,16,1,351,0,0,35
12,7,20241216,16,1,351,0,38,35
13,9,20241216,16,1,351,0,51,35
14,9,20241216,16,1,351,1,0,35
15,9,20241216,16,1,351,2,0,35
16,10,20241216,16,1,351,2,15,35
17,10,20241216,16,1,351,3,0,35
18,10,20241216,16,1,351,4,0,35
19,10,20241216,16,1,351,5,0,35
20,10,20241216,16,1,351,6,0,35
21,9,20241216,16,1,351,6,23,35
22,9,20241216,16,1,351,7,0,35
23,8,20241216,16,1,351,7,20,35
24,7,20241216,16,1,351,7,42,35
25,6,20241216,16,1,351,7,46,35
26,6,20241216,16,1,351,8,0,35
27,7,20241216,16,1,351,8,5,35
28,5,20241216,16,1,351,8,7,35
29,8,20241216,16,1,351,8,38,35
30,7,20241216,16,1,351,9,0,35
31,8,20241216,16,1,351,9,6,35
32,9,20241216,16,1,351,9,13,35
33,8,20241216,16,1,351,10,0,35
34,7,20241216,16,1,351,10,21,35
35,6,20241216,16,1,351,10,34,35
36,5,20241216,16,1,351,10,44,35
37,5,20241216,16,1,351,11,0,35
38,4,20241216,16,1,351,11,36,35
39,2,20241216,16,1,351,11,44,35
40,2,20241216,16,1,351,12,0,35
41,3,20241216,16,1,351,12,40,35
42,4,20241216,16,1,351,12,43,35
43,4,20241216,16,1,351,13,0,35
44,5,20241216,16,1,351,13,23,35
45,6,20241216,16,1,351,13,24,35
46,3,20241216,16,1,351,13,47,35
47,3,20241216,16,1,351,14,0,35
48,4,20241216,16,1,351,14,49,35
49,4,20241216,16,1,351,15,0,35
50,3,20241216,16,1,351,15,9,35
51,5,20241216,16,1,351,15,15,35
52,3,20241216,16,1,351,16,0,35
53,4,20241216,16,1,351,16,8,35
54,2,20241216,16,1,351,16,13,35
55,5,20241216,16,1,351,16,36,35
56,6,20241216,16,1,351,16,43,35
57,7,20241216,16,1,351,16,47,35
58,8,20241216,16,1,351,16,48,35
59,9,20241216,16,1,351,16,53,35
60,11,20241216,16,1,351,17,0,35
61,10,20241216,16,1,351,17,21,35
